"FinancialYear","HBR","HBRQF","SIMD","Dataset","DatasetQF","DischargeCount","DischargeCountQF","DischargeRates","DischargeRatesQF","PatientsCount","PatientCountQF","PatientsRates","PatientRatesQF","HospitalResidentsCount","HospitalResidentsCountQF","HospitalResidentsRates","HospitalResidentsRatesQF"
"1997/98","S08000024"," ",1,"SMR04"," ","1050"," ","1214.2"," ","660"," ","763.21"," ","180"," ","208.15"," "
"1997/98","S08000024"," ",2,"SMR04"," ","1550"," ","988.83"," ","1020"," ","650.71"," ","250"," ","159.49"," "
"1997/98","S08000024"," ",3,"SMR04"," ","940"," ","746.02"," ","610"," ","484.12"," ","180"," ","142.85"," "
"1997/98","S08000024"," ",4,"SMR04"," ","770"," ","551.02"," ","490"," ","350.65"," ","250"," ","178.9"," "
"1997/98","S08000024"," ",5,"SMR04"," ","1040"," ","406.55"," ","710"," ","277.55"," ","230"," ","89.91"," "
"1997/98","S08000025"," ",1,"SMR04"," ","0"," ","0"," ","0"," ","0"," ","0"," ","0"," "
"1997/98","S08000025"," ",2,"SMR04"," ","10"," ","504.29"," ","10"," ","504.29"," ","0"," ","0"," "
"1997/98","S08000025"," ",3,"SMR04"," ","30"," ","390.98"," ","20"," ","260.65"," ","0"," ","0"," "
"1997/98","S08000025"," ",4,"SMR04"," ","10"," ","126.15"," ","10"," ","126.15"," ","0"," ","0"," "
"1997/98","S08000025"," ",5,"SMR04"," ","0"," ","0"," ","0"," ","0"," ","0"," ","0"," "
"1997/98","S08000026"," ",1,"SMR04"," ","0"," ","0"," ","0"," ","0"," ","0"," ","0"," "
"1997/98","S08000026"," ",2,"SMR04"," ","0"," ","0"," ","0"," ","0"," ","0"," ","0"," "
"1997/98","S08000026"," ",3,"SMR04"," ","10"," ","159.82"," ","10"," ","159.82"," ","0"," ","0"," "
"1997/98","S08000026"," ",4,"SMR04"," ","40"," ","275.18"," ","30"," ","206.38"," ","10"," ","68.79"," "
"1997/98","S08000026"," ",5,"SMR04"," ","0"," ","0"," ","0"," ","0"," ","0"," ","0"," "
"1997/98","S08000030"," ",1,"SMR04"," ","980"," ","1334.66"," ","640"," ","871.61"," ","140"," ","190.67"," "
"1997/98","S08000030"," ",2,"SMR04"," ","610"," ","953.62"," ","420"," ","656.59"," ","120"," ","187.6"," "
"1997/98","S08000030"," ",3,"SMR04"," ","450"," ","654.16"," ","320"," ","465.18"," ","100"," ","145.37"," "
"1997/98","S08000030"," ",4,"SMR04"," ","510"," ","431.98"," ","380"," ","321.86"," ","260"," ","220.22"," "
"1997/98","S08000030"," ",5,"SMR04"," ","310"," ","436.1"," ","220"," ","309.49"," ","150"," ","211.02"," "
"1997/98","S08000028"," ",1,"SMR04"," ","0"," ","0"," ","0"," ","0"," ","0"," ","0"," "
"1997/98","S08000028"," ",2,"SMR04"," ","90"," ","618.39"," ","60"," ","412.26"," ","10"," ","68.71"," "
"1997/98","S08000028"," ",3,"SMR04"," ","110"," ","823.6"," ","70"," ","524.11"," ","20"," ","149.75"," "
"1997/98","S08000028"," ",4,"SMR04"," ","0"," ","0"," ","0"," ","0"," ","0"," ","0"," "
"1997/98","S08000028"," ",5,"SMR04"," ","0"," ","0"," ","0"," ","0"," ","0"," ","0"," "
"1998/99","S08000015"," ",1,"SMR04"," ","990"," ","1153.05"," ","660"," ","768.7"," ","150"," ","174.71"," "
"1998/99","S08000015"," ",2,"SMR04"," ","830"," ","739.51"," ","570"," ","507.85"," ","140"," ","124.74"," "
"1998/99","S08000015"," ",3,"SMR04"," ","410"," ","602.19"," ","290"," ","425.94"," ","80"," ","117.5"," "
"1998/99","S08000015"," ",4,"SMR04"," ","250"," ","458.61"," ","180"," ","330.2"," ","70"," ","128.41"," "
"1998/99","S08000015"," ",5,"SMR04"," ","210"," ","410.98"," ","130"," ","254.42"," ","30"," ","58.71"," "
"1998/99","S08000016"," ",1,"SMR04"," ","20"," ","622.08"," ","10"," ","311.04"," ","0"," ","0"," "
"1998/99","S08000016"," ",2,"SMR04"," ","50"," ","714.39"," ","40"," ","571.51"," ","10"," ","142.88"," "
"1998/99","S08000016"," ",3,"SMR04"," ","260"," ","727.64"," ","170"," ","475.76"," ","50"," ","139.93"," "
"1998/99","S08000016"," ",4,"SMR04"," ","220"," ","498.11"," ","160"," ","362.26"," ","50"," ","113.21"," "
"1998/99","S08000016"," ",5,"SMR04"," ","100"," ","627.86"," ","70"," ","439.51"," ","20"," ","125.57"," "
"1998/99","S08000017"," ",1,"SMR04"," ","120"," ","969.62"," ","90"," ","727.21"," ","40"," ","323.21"," "
"1998/99","S08000017"," ",2,"SMR04"," ","220"," ","698.92"," ","160"," ","508.31"," ","50"," ","158.85"," "
"1998/99","S08000017"," ",3,"SMR04"," ","320"," ","522.88"," ","240"," ","392.16"," ","80"," ","130.72"," "
